filenames,labels
./processed_spectrograms/132608_chunk_0.pt,Common Redpoll
./processed_spectrograms/132608_chunk_1.pt,Common Redpoll
./processed_spectrograms/132608_chunk_2.pt,Common Redpoll
./processed_spectrograms/132608_chunk_3.pt,Common Redpoll
./processed_spectrograms/132608_chunk_4.pt,Common Redpoll
./processed_spectrograms/132608_chunk_5.pt,Common Redpoll
./processed_spectrograms/132608_chunk_6.pt,Common Redpoll
./processed_spectrograms/132608_chunk_7.pt,Common Redpoll
./processed_spectrograms/132611_chunk_0.pt,Common Redpoll
./processed_spectrograms/132611_chunk_1.pt,Common Redpoll
./processed_spectrograms/132611_chunk_2.pt,Common Redpoll
./processed_spectrograms/35068_chunk_0.pt,Common Redpoll
./processed_spectrograms/82715_chunk_0.pt,Marsh Warbler
./processed_spectrograms/82715_chunk_1.pt,Marsh Warbler
./processed_spectrograms/82715_chunk_2.pt,Marsh Warbler
./processed_spectrograms/64685_chunk_0.pt,Marsh Warbler
./processed_spectrograms/64685_chunk_1.pt,Marsh Warbler
./processed_spectrograms/64685_chunk_2.pt,Marsh Warbler
./processed_spectrograms/64686_chunk_0.pt,Marsh Warbler
./processed_spectrograms/64686_chunk_1.pt,Marsh Warbler
./processed_spectrograms/64686_chunk_2.pt,Marsh Warbler
./processed_spectrograms/64686_chunk_3.pt,Marsh Warbler
./processed_spectrograms/120664_chunk_0.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_1.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_2.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_3.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_4.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_5.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_6.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_7.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_8.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_9.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_10.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_11.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_12.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_13.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_14.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_15.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_16.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_17.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_18.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_19.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_20.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_21.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_22.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_23.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_24.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_25.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_26.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_27.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_28.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_29.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_30.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_31.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_32.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_33.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_34.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_35.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_36.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_37.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_38.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_39.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_40.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_41.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_42.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_43.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_44.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_45.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_46.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_47.pt,Sedge Warbler
./processed_spectrograms/120664_chunk_48.pt,Sedge Warbler
